        0.0000  -1.531258   0.291605  -1.239653 
      500.0000  -1.533001   0.293311  -1.239691 
     1000.0000  -1.536901   0.297903  -1.238998 
     1500.0000  -1.540050   0.300009  -1.240041 
     2000.0000  -1.536222   0.297331  -1.238891 
     2500.0000  -1.539484   0.294721  -1.244763 
     3000.0000  -1.546150   0.301337  -1.244814 
     3500.0000  -1.540055   0.293503  -1.246551 
     4000.0000  -1.541690   0.292843  -1.248847 
     4500.0000  -1.537507   0.289100  -1.248407 
     5000.0000  -1.535213   0.290901  -1.244312 
     5500.0000  -1.536601   0.295750  -1.240851 
     6000.0000  -1.543947   0.284756  -1.259191 
     6500.0000  -1.544890   0.299957  -1.244933 
     7000.0000  -1.543052   0.293379  -1.249673 
     7500.0000  -1.536457   0.290238  -1.246219 
     8000.0000  -1.542906   0.294456  -1.248450 
     8500.0000  -1.539129   0.296480  -1.242648 
     9000.0000  -1.542747   0.293137  -1.249610 
     9500.0000  -1.541630   0.291299  -1.250330 
    10000.0000  -1.540163   0.295979  -1.244184 
    10500.0000  -1.543831   0.293609  -1.250223 
    11000.0000  -1.542102   0.288166  -1.253936 
    11500.0000  -1.542547   0.292621  -1.249925 
    12000.0000  -1.549416   0.290938  -1.258479 
    12500.0000  -1.539029   0.298268  -1.240762 
    13000.0000  -1.543477   0.295647  -1.247831 
    13500.0000  -1.543109   0.296703  -1.246406 
    14000.0000  -1.545679   0.293544  -1.252135 
    14500.0000  -1.540824   0.290378  -1.250446 
    15000.0000  -1.533584   0.296226  -1.237358 
    15500.0000  -1.543753   0.290372  -1.253381 
    16000.0000  -1.540332   0.292730  -1.247602 
    16500.0000  -1.536129   0.288155  -1.247973 
    17000.0000  -1.548152   0.295697  -1.252455 
    17500.0000  -1.538907   0.294199  -1.244708 
    18000.0000  -1.541123   0.293278  -1.247845 
    18500.0000  -1.539502   0.289589  -1.249913 
    19000.0000  -1.539615   0.287753  -1.251862 
    19500.0000  -1.538278   0.287956  -1.250322 
    20000.0000  -1.538430   0.293084  -1.245346 
    20500.0000  -1.546398   0.292082  -1.254316 
    21000.0000  -1.538059   0.300014  -1.238045 
    21500.0000  -1.539089   0.302394  -1.236695 
    22000.0000  -1.543309   0.293191  -1.250118 
    22500.0000  -1.531283   0.302138  -1.229145 
    23000.0000  -1.542098   0.290579  -1.251519 
    23500.0000  -1.541032   0.297831  -1.243201 
    24000.0000  -1.537361   0.298415  -1.238946 
    24500.0000  -1.547655   0.299413  -1.248242 
    25000.0000  -1.541515   0.297070  -1.244445 
    25500.0000  -1.550002   0.291578  -1.258425 
    26000.0000  -1.542608   0.295299  -1.247309 
    26500.0000  -1.537019   0.293539  -1.243480 
    27000.0000  -1.541480   0.289007  -1.252473 
    27500.0000  -1.546753   0.292472  -1.254282 
    28000.0000  -1.534637   0.294006  -1.240631 
    28500.0000  -1.542657   0.291451  -1.251206 
    29000.0000  -1.540249   0.291912  -1.248337 
    29500.0000  -1.541524   0.296402  -1.245122 
    30000.0000  -1.543057   0.294097  -1.248960 
