           0  -1.208267   0.000  0.000  0.000  19  5 47299.044771
       10000  -1.299281   0.104  0.284  0.000  21  6 1463.197700
       20000  -1.263006   0.101  0.284  0.000  21  4 27275.232338
       30000  -1.286019   0.101  0.286  0.000  20  5 9014.619318
       40000  -1.324260   0.099  0.284  0.000  21  6 1463.197700
       50000  -1.221222   0.100  0.283  0.000  20  6 2497.001590
       60000  -1.331171   0.099  0.281  0.000  22  6 2592.814283
       70000  -1.287365   0.100  0.281  0.000  22  5 3340.730363
       80000  -1.334838   0.099  0.281  0.000  21  4 27275.232338
       90000  -1.287846   0.098  0.280  0.000  21  5 3629.634093
      100000  -1.238600   0.098  0.280  0.000  21  4 27275.232338
      110000  -1.246591   0.099  0.280  0.000  20  6 2497.001590
      120000  -1.283641   0.100  0.281  0.000  22  6 2592.814283
      130000  -1.274486   0.101  0.282  0.000  21  5 3629.634093
      140000  -1.240811   0.101  0.282  0.000  21  6 1463.197700
      150000  -1.278439   0.101  0.282  0.000  21  5 3629.634093
      160000  -1.291096   0.101  0.282  0.000  22  6 2592.814283
      170000  -1.293220   0.101  0.282  0.000  19  5 47299.044771
      180000  -1.252148   0.101  0.282  0.000  21  4 27275.232338
      190000  -1.300357   0.100  0.282  0.000  21  6 1463.197700
      200000  -1.224435   0.101  0.282  0.000  19  5 47299.044771
      210000  -1.237949   0.101  0.282  0.000  22  6 2592.814283
      220000  -1.315157   0.101  0.283  0.000  21  6 1463.197700
      230000  -1.272159   0.101  0.283  0.000  20  6 2497.001590
      240000  -1.239699   0.101  0.283  0.000  21  6 1463.197700
      250000  -1.201314   0.101  0.283  0.000  19  5 47299.044771
      260000  -1.301111   0.101  0.283  0.000  22  5 3340.730363
      270000  -1.266274   0.101  0.283  0.000  22  5 3340.730363
      280000  -1.338503   0.101  0.283  0.000  21  5 3629.634093
      290000  -1.228839   0.101  0.283  0.000  20  5 9014.619318
      300000  -1.212386   0.101  0.283  0.000  19  5 47299.044771
      310000  -1.287494   0.101  0.283  0.000  21  6 1463.197700
      320000  -1.245204   0.101  0.283  0.000  20  5 9014.619318
      330000  -1.290347   0.101  0.284  0.000  21  5 3629.634093
      340000  -1.303098   0.101  0.284  0.000  20  5 9014.619318
      350000  -1.268686   0.101  0.284  0.000  20  6 2497.001590
      360000  -1.218809   0.102  0.284  0.000  19  5 47299.044771
      370000  -1.278797   0.102  0.284  0.000  18  6 92922.039352
      380000  -1.158181   0.102  0.284  0.000  20  5 9014.619318
      390000  -1.280776   0.102  0.285  0.000  19  5 47299.044771
      400000  -1.243374   0.102  0.285  0.000  18  6 92922.039352
      410000  -1.290197   0.102  0.285  0.000  21  7 2051.087135
      420000  -1.245982   0.103  0.285  0.000  20  5 9014.619318
      430000  -1.315597   0.103  0.285  0.000  20  7 1653.402326
      440000  -1.297677   0.103  0.285  0.000  21  7 2051.087135
      450000  -1.268612   0.103  0.285  0.000  19  5 47299.044771
      460000  -1.273002   0.103  0.285  0.000  21  7 2051.087135
      470000  -1.232792   0.103  0.285  0.000  19  6 11071.907580
      480000  -1.206739   0.103  0.285  0.000  19  7 3998.019367
