           0  -1.253726   0.000  0.000  0.000  11 17 279294.522250
       10000  -1.240368   0.122  0.296  0.000   9 17 13859078.577503
       20000  -1.253448   0.116  0.290  0.000  10 17 1586826.050462
       30000  -1.194158   0.115  0.290  0.000   9 17 13859078.577503
       40000  -1.168243   0.117  0.292  0.000  11 16 595706.104136
       50000  -1.278026   0.118  0.292  0.000  10 16 3997416.628299
       60000  -1.227083   0.119  0.293  0.000  12 16 181637.088128
       70000  -1.154042   0.121  0.294  0.000   8 17 70109760.230100
       80000  -1.277576   0.121  0.295  0.000  11 16 595706.104136
       90000  -1.238633   0.120  0.294  0.000  11 15 4435515.877062
      100000  -1.259432   0.120  0.294  0.000  10 15 34994027.915273
      110000  -1.279183   0.120  0.293  0.000  10 16 3997416.628299
      120000  -1.330331   0.120  0.292  0.000  13 16 103149.478188
      130000  -1.261603   0.119  0.292  0.000  11 16 595706.104136
      140000  -1.272612   0.119  0.292  0.000  10 16 3997416.628299
      150000  -1.198257   0.120  0.292  0.000   9 16 43435949.429313
      160000  -1.236760   0.120  0.292  0.000   9 16 43435949.429313
      170000  -1.198972   0.121  0.292  0.000  11 16 595706.104136
      180000  -1.181373   0.121  0.293  0.000  10 17 1586826.050462
      190000  -1.273485   0.121  0.293  0.000  10 16 3997416.628299
      200000  -1.253717   0.121  0.294  0.000  10 16 3997416.628299
      210000  -1.240645   0.121  0.294  0.000  13 15 89317.721023
      220000  -1.200213   0.121  0.295  0.000  10 15 34994027.915273
      230000  -1.205841   0.121  0.295  0.000   9 17 13859078.577503
      240000  -1.175902   0.121  0.295  0.000   9 17 13859078.577503
      250000  -1.221160   0.121  0.296  0.000   8 16 258357885.908738
      260000  -1.255740   0.121  0.296  0.000   7 16 517094809.432215
      270000  -1.287553   0.121  0.296  0.000  11 16 595706.104136
      280000  -1.275015   0.121  0.296  0.000  10 17 1586826.050462
      290000  -1.188856   0.121  0.296  0.000   9 15 390867668.025890
      300000  -1.256855   0.121  0.296  0.000   9 17 13859078.577503
      310000  -1.209557   0.121  0.296  0.000   9 16 43435949.429313
      320000  -1.218747   0.121  0.297  0.000   9 16 43435949.429313
      330000  -1.175611   0.121  0.297  0.000   8 16 258357885.908738
      340000  -1.264810   0.122  0.298  0.000   8 17 70109760.230100
      350000  -1.168015   0.122  0.298  0.000   5 17 517094809.432215
      360000  -1.219115   0.122  0.298  0.000   9 18 4086699.218041
      370000  -1.242396   0.122  0.298  0.000   9 15 390867668.025890
      380000  -1.112338   0.122  0.299  0.000   9 16 43435949.429313
      390000  -1.237602   0.122  0.299  0.000  11 18 450401.969681
      400000  -1.202318   0.122  0.299  0.000   9 16 43435949.429313
      410000  -1.176266   0.122  0.299  0.000  10 16 3997416.628299
      420000  -1.222288   0.122  0.299  0.000  11 17 279294.522250
      430000  -1.303430   0.122  0.299  0.000  11 17 279294.522250
      440000  -1.194261   0.122  0.299  0.000  11 15 4435515.877062
      450000  -1.247421   0.122  0.299  0.000  12 15 650289.947910
      460000  -1.203797   0.122  0.299  0.000  10 14 156951176.696701
      470000  -1.256978   0.122  0.299  0.000   9 16 43435949.429313
      480000  -1.213919   0.122  0.299  0.000   9 15 390867668.025890
      490000  -1.286968   0.122  0.299  0.000  13 16 103149.478188
      500000  -1.258478   0.122  0.299  0.000  11 16 595706.104136
      510000  -1.259792   0.122  0.299  0.000  11 17 279294.522250
      520000  -1.284863   0.122  0.299  0.000  11 15 4435515.877062
      530000  -1.268900   0.121  0.299  0.000  12 16 181637.088128
      540000  -1.343789   0.121  0.299  0.000  12 16 181637.088128
      550000  -1.300568   0.120  0.298  0.000  12 16 181637.088128
      560000  -1.286856   0.120  0.298  0.000   9 16 43435949.429313
      570000  -1.250803   0.120  0.298  0.000  11 15 4435515.877062
      580000  -1.165970   0.120  0.298  0.000  11 15 4435515.877062
      590000  -1.306332   0.120  0.298  0.000  12 15 650289.947910
      600000  -1.322581   0.120  0.298  0.000  14 15 23312.039235
      610000  -1.323579   0.119  0.297  0.000  14 16 126156.998727
      620000  -1.312298   0.119  0.297  0.000  14 16 126156.998727
      630000  -1.281732   0.119  0.297  0.000  14 16 126156.998727
      640000  -1.286438   0.119  0.297  0.000  12 15 650289.947910
      650000  -1.269123   0.119  0.296  0.000  11 15 4435515.877062
      660000  -1.218512   0.119  0.296  0.000   9 14 517094809.432215
      670000  -1.208162   0.119  0.297  0.000  10 14 156951176.696701
      680000  -1.279707   0.119  0.296  0.000  11 15 4435515.877062
      690000  -1.310727   0.119  0.296  0.000  15 15 18523.793983
      700000  -1.268497   0.119  0.296  0.000  11 15 4435515.877062
      710000  -1.227554   0.119  0.296  0.000  12 13 1807830.598529
      720000  -1.371458   0.119  0.296  0.000  15 15 18523.793983
      730000  -1.352420   0.119  0.296  0.000  14 15 23312.039235
      740000  -1.309910   0.119  0.295  0.000  15 15 18523.793983
      750000  -1.316627   0.119  0.295  0.000  15 14 5877.468707
      760000  -1.308736   0.119  0.295  0.000  15 15 18523.793983
      770000  -1.344035   0.119  0.295  0.000  15 15 18523.793983
      780000  -1.306240   0.118  0.295  0.000  14 15 23312.039235
      790000  -1.348832   0.118  0.294  0.000  15 15 18523.793983
      800000  -1.265628   0.118  0.294  0.000  12 15 650289.947910
      810000  -1.368506   0.118  0.294  0.000  15 15 18523.793983
      820000  -1.318966   0.118  0.294  0.000  13 15 89317.721023
      830000  -1.287364   0.118  0.294  0.000  14 15 23312.039235
      840000  -1.273207   0.118  0.294  0.000  13 15 89317.721023
      850000  -1.313108   0.118  0.294  0.000  15 15 18523.793983
